iter	RMSE
0	77364.90055
1	75241.04406
2	73124.13538
3	71129.0142
4	69353.40099
5	67743.06473
6	65958.11786
7	64478.64054
8	63057.70915
9	61586.47685
10	60267.84704
11	58831.03313
12	57624.91949
13	56270.4677
14	54936.77035
15	53789.81569
16	52597.41857
17	51531.89098
18	50415.42676
19	49295.11961
20	48281.41382
21	47424.35225
22	46519.27324
23	45708.58992
24	44932.26847
25	44170.41764
26	43438.60356
27	42656.50483
28	41930.75632
29	41271.00352
30	40548.76563
31	39875.04789
32	39208.28216
33	38631.38918
34	38040.4028
35	37535.15926
36	36954.85483
37	36408.14878
38	35995.62825
39	35495.52845
40	34952.91291
41	34486.16664
42	34098.14115
43	33696.93214
44	33411.35809
45	33002.33348
46	32623.2045
47	32219.24562
48	31879.67599
49	31537.93805
50	31236.38881
51	30867.45528
52	30552.49497
53	30299.64455
54	29990.0297
55	29728.58325
56	29544.2729
57	29260.98691
58	29024.93609
59	28774.44373
60	28587.58352
61	28369.38948
62	28175.99438
63	27988.12174
64	27794.07872
65	27573.75886
66	27369.02954
67	27146.16207
68	26920.68313
69	26714.04379
70	26520.1136
71	26339.0282
72	26161.26338
73	25991.45502
74	25858.09158
75	25682.98645
76	25492.12861
77	25293.08341
78	25145.98019
79	24986.47616
80	24869.17552
81	24736.73057
82	24603.9853
83	24482.67818
84	24334.64313
85	24191.58634
86	24094.93359
87	23990.29185
88	23877.7428
89	23773.94731
90	23660.91608
91	23562.53656
92	23451.2678
93	23362.78664
94	23257.78225
95	23192.82
96	23074.13342
97	22965.32824
98	22868.4142
99	22760.11768
100	22672.10788
101	22596.33748
102	22507.95335
103	22413.21778
104	22314.95848
105	22226.33517
106	22133.82945
107	22052.32442
108	21975.16412
109	21911.62981
110	21855.09894
111	21765.64127
112	21665.2758
113	21569.75498
114	21531.1326
115	21478.68935
116	21406.4935
117	21348.83294
118	21274.51506
119	21182.53326
120	21119.95508
121	21054.53694
122	20998.73604
123	20941.02712
124	20866.65346
125	20791.76364
126	20745.06613
127	20688.95112
128	20650.61543
129	20611.79951
130	20550.33889
131	20499.67069
132	20417.93556
133	20360.49364
134	20327.69401
135	20286.07465
136	20209.07137
137	20152.16023
138	20111.4597
139	20066.35904
140	19997.62816
141	19949.96379
142	19893.71383
143	19849.33494
144	19792.07771
145	19741.29479
146	19693.97844
147	19641.81328
148	19591.13485
149	19551.66531
150	19503.77394
151	19453.90945
152	19402.8787
153	19359.4953
154	19324.40684
155	19271.73056
156	19232.04943
157	19179.41005
158	19148.08869
159	19106.96832
160	19062.51191
161	19028.29278
162	18995.84015
163	18957.42583
164	18900.7393
165	18846.15391
166	18799.82561
167	18749.06661
168	18735.7255
169	18718.96649
170	18685.0451
171	18631.30117
172	18562.92929
173	18526.90625
174	18483.3152
175	18448.94402
176	18409.3205
177	18387.9703
178	18341.00292
179	18296.72429
180	18264.67545
181	18219.4653
182	18191.77104
183	18144.05842
184	18127.85206
185	18103.58456
186	18065.75143
187	18008.50679
188	17962.19026
189	17917.25341
190	17877.93948
191	17865.75397
192	17830.68899
193	17794.55391
194	17767.68352
195	17729.65319
196	17704.34511
197	17683.53206
198	17631.77531
199	17580.98426
200	17569.94698
201	17534.68344
202	17506.9752
203	17462.70742
204	17432.2847
205	17421.71588
206	17406.83499
207	17381.03866
208	17345.43049
209	17303.94879
210	17282.96027
211	17228.29565
212	17189.58102
213	17150.23881
