iter	Passed	Remaining
0	37	37269
1	63	31876
2	82	27423
3	114	28588
4	139	27746
5	161	26725
6	179	25459
7	202	25068
8	216	23854
9	228	22658
10	239	21576
11	253	20854
12	264	20056
13	274	19359
14	285	18756
15	296	18231
16	308	17811
17	319	17420
18	331	17135
19	344	16859
20	355	16560
21	368	16392
22	383	16285
23	402	16376
24	416	16242
25	432	16207
26	443	15968
27	453	15747
28	466	15611
29	477	15436
30	491	15352
31	507	15341
32	526	15418
33	544	15479
34	564	15552
35	581	15573
36	606	15775
37	631	15976
38	653	16105
39	692	16631
40	708	16583
41	724	16531
42	741	16505
43	754	16392
44	773	16416
45	792	16440
46	808	16401
47	824	16346
48	837	16252
49	850	16166
50	864	16088
51	878	16014
52	898	16045
53	915	16046
54	932	16016
55	948	15995
56	961	15911
57	974	15826
58	985	15725
59	996	15616
60	1008	15525
61	1018	15415
62	1029	15317
63	1038	15194
64	1047	15074
65	1057	14968
66	1065	14842
67	1074	14725
68	1084	14631
69	1093	14522
70	1102	14422
71	1112	14343
72	1122	14249
73	1130	14149
74	1139	14051
75	1147	13952
76	1157	13870
77	1166	13787
78	1174	13694
79	1183	13612
80	1192	13531
81	1200	13438
82	1207	13338
83	1214	13240
84	1220	13143
85	1228	13054
86	1235	12965
87	1242	12872
88	1248	12784
89	1255	12693
90	1262	12612
91	1269	12528
92	1275	12443
93	1282	12357
94	1288	12274
95	1295	12203
96	1302	12125
97	1309	12055
98	1316	11981
99	1323	11911
100	1330	11844
101	1336	11768
102	1343	11697
103	1350	11634
104	1357	11568
105	1363	11499
106	1370	11433
107	1376	11369
108	1384	11314
109	1390	11253
110	1397	11191
111	1403	11127
112	1409	11066
113	1416	11010
114	1422	10945
115	1429	10892
116	1436	10841
117	1443	10789
118	1449	10734
119	1456	10680
120	1462	10625
121	1468	10569
122	1475	10517
123	1481	10462
124	1486	10407
125	1492	10353
126	1499	10305
127	1506	10262
128	1512	10215
129	1520	10173
130	1526	10125
131	1533	10083
132	1541	10047
133	1548	10004
134	1554	9958
135	1560	9916
136	1568	9882
137	1575	9840
138	1582	9800
139	1588	9755
140	1594	9715
141	1602	9680
142	1610	9650
143	1617	9616
144	1625	9586
145	1633	9552
146	1641	9523
147	1649	9493
148	1658	9474
149	1666	9445
150	1677	9429
151	1688	9420
152	1695	9388
153	1703	9358
154	1711	9330
155	1719	9303
156	1727	9273
157	1734	9244
158	1742	9216
159	1750	9189
160	1758	9165
161	1765	9134
162	1773	9107
163	1781	9083
164	1790	9058
165	1797	9032
166	1806	9009
167	1814	8984
168	1821	8957
169	1829	8932
170	1838	8913
171	1846	8889
172	1854	8862
173	1860	8833
174	1869	8812
175	1876	8783
176	1883	8757
177	1890	8730
178	1899	8712
179	1908	8692
180	1915	8669
181	1924	8648
182	1931	8624
183	1939	8602
184	1947	8579
185	1955	8559
186	1962	8533
187	1971	8513
188	1978	8491
189	1987	8472
190	1995	8452
191	2003	8431
192	2011	8409
193	2020	8394
194	2028	8374
195	2036	8353
196	2044	8334
197	2049	8303
198	2058	8284
199	2065	8261
200	2073	8240
201	2081	8222
202	2093	8218
203	2108	8226
204	2129	8259
205	2149	8283
206	2174	8329
207	2194	8356
208	2217	8393
209	2241	8432
210	2263	8465
211	2299	8547
212	2333	8622
213	2353	8644
214	2385	8710
215	2417	8774
216	2441	8811
217	2465	8842
218	2488	8875
219	2499	8863
220	2510	8847
221	2523	8843
222	2535	8834
223	2548	8827
224	2561	8821
225	2572	8809
226	2583	8796
227	2593	8781
228	2605	8773
229	2619	8771
230	2631	8759
231	2643	8751
232	2653	8734
233	2662	8716
234	2673	8701
235	2688	8704
236	2700	8693
237	2710	8677
238	2721	8665
239	2730	8648
240	2740	8631
241	2749	8612
242	2758	8594
243	2766	8572
244	2775	8553
245	2784	8533
246	2794	8520
247	2802	8498
248	2813	8485
249	2821	8464
250	2830	8445
251	2837	8422
252	2845	8402
253	2852	8378
254	2860	8357
255	2868	8337
256	2877	8318
257	2885	8299
258	2893	8278
259	2901	8257
260	2908	8234
261	2915	8211
262	2921	8187
263	2928	8163
264	2934	8139
265	2941	8117
266	2948	8095
267	2955	8072
268	2962	8050
269	2968	8027
270	2974	8002
271	2981	7979
272	2989	7961
273	2996	7938
274	3003	7919
275	3011	7899
276	3018	7879
277	3025	7858
278	3032	7836
279	3038	7814
280	3045	7791
281	3053	7773
282	3059	7752
283	3066	7731
284	3072	7708
285	3080	7689
286	3086	7668
287	3092	7645
288	3098	7623
289	3104	7601
290	3111	7580
291	3116	7557
292	3123	7536
293	3131	7518
294	3137	7499
295	3145	7480
296	3151	7459
297	3157	7437
298	3163	7416
299	3170	7397
300	3176	7375
301	3182	7356
302	3189	7336
303	3197	7319
304	3205	7303
305	3213	7288
306	3220	7270
307	3229	7255
308	3237	7238
309	3244	7221
310	3251	7203
311	3259	7186
312	3267	7171
313	3274	7153
314	3281	7136
315	3289	7120
316	3296	7103
317	3304	7085
318	3311	7068
319	3317	7050
320	3324	7033
321	3333	7019
322	3341	7004
323	3349	6989
324	3357	6973
325	3367	6962
326	3377	6951
327	3389	6943
328	3401	6937
329	3418	6939
330	3440	6954
331	3460	6961
332	3485	6980
333	3503	6986
334	3520	6989
335	3538	6993
336	3556	6997
337	3577	7006
338	3590	7001
339	3602	6992
340	3618	6993
341	3632	6987
342	3649	6989
343	3665	6990
344	3684	6994
345	3704	7002
346	3723	7006
347	3736	7001
348	3748	6992
349	3762	6987
350	3774	6979
351	3790	6977
352	3802	6969
353	3828	6985
354	3837	6972
355	3849	6963
356	3858	6949
357	3868	6936
358	3878	6924
359	3887	6910
360	3896	6896
361	3907	6886
362	3916	6872
363	3925	6858
364	3936	6848
365	3945	6834
366	3956	6824
367	3966	6812
368	3979	6805
369	3991	6796
370	4004	6788
371	4014	6776
372	4027	6770
373	4038	6760
374	4048	6747
375	4060	6738
376	4070	6726
377	4078	6711
378	4089	6699
379	4099	6688
380	4109	6675
381	4118	6663
382	4126	6648
383	4135	6634
384	4142	6617
385	4150	6602
386	4158	6586
387	4167	6572
388	4175	6558
389	4184	6544
390	4191	6529
391	4201	6516
392	4209	6501
393	4218	6487
394	4225	6471
395	4234	6458
396	4241	6441
397	4250	6428
398	4256	6411
399	4264	6396
400	4271	6380
401	4282	6371
402	4290	6355
403	4299	6343
404	4307	6328
405	4316	6314
406	4323	6299
407	4331	6285
408	4339	6270
409	4347	6256
410	4355	6242
411	4365	6229
412	4373	6216
413	4383	6203
414	4389	6188
415	4398	6174
416	4407	6161
417	4416	6149
418	4425	6136
419	4434	6123
